Chomper_Kill;Spitter_Kill;Spike_Hit;Death_Fall;Death_Acid;Spitter_Hit;Chomper_Hit;Column_Des;Health_Pickup;Switch_Enabled;Box_Pushed ;Key1_Pickup;Key2_Pickup;Key3_Pickup;Quiz_Start;Correct_Ans;Wrong_Ans;Classe
0;3;0;0;1;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;1;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;2;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;1;0;1;0;0;1;0;1;0;1;1;1;1;3;0;1
0;2;2;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0
0;3;0;1;1;0;0;1;0;1;0;1;1;1;1;3;1;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;1;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;1;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;1;2;0;1;0;1;0;1;1;0;1;0;0;0
0;3;0;0;0;2;0;1;0;1;0;1;1;1;1;3;0;1
0;3;1;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;1;0;1;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;1;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;1;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;2;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;2;2;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0
0;3;1;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;1;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;1;1;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;1;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;1;0;1;0;1;0;1;0;1;1;1;1;3;2;1
0;3;1;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;1;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;1;0;1;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;1;0;0;1;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;2;1
0;3;1;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;1;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;1;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;1;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;1;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;1;0;0;0;1;0;1;0;1;1;1;1;3;1;1
0;3;0;1;0;0;0;1;0;1;0;1;1;1;1;3;1;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;2;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;1;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;1;0;1;0;1;0;1;1;1;1;3;0;1
0;3;2;0;0;0;0;1;0;1;0;1;1;1;1;3;1;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;1;1
0;3;0;2;1;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;1;0;0;0;1;0;1;0;1;1;1;1;3;1;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;1;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;2;0;0;0;1;0;1;0;1;1;1;1;3;1;1
0;3;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;1;1
0;3;0;0;1;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;1;1
0;3;1;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;2;0;1;0;1;0;1;1;1;1;3;0;1
0;3;1;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;1;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;1;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;1;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;1;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;1;1
0;3;1;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;2;0;0;0;1;0;1;0;1;1;1;1;3;1;1
0;3;0;2;0;0;0;1;0;1;0;1;1;1;1;3;1;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;1;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;1;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;1;0;1;0;1;0;1;1;1;1;3;1;1
0;3;0;1;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;4;0;2;0;1;0;1;0;1;0;1;1;1;0;0;0;0
0;5;0;1;1;1;0;1;0;1;0;1;1;0;0;0;0;0
0;3;0;0;0;1;0;1;0;1;0;1;1;1;1;3;0;1
0;3;1;0;0;1;0;1;0;1;0;1;1;1;1;3;1;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;1;0;0;0;0;1;0;1;0;1;1;1;1;3;1;1
0;3;1;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;2;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;1;1
0;3;0;0;0;0;0;1;0;1;0;1;1;1;1;3;0;1
